id,label
0,0
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,1
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,1
518,0
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,1
529,0
530,1
531,0
532,1
